Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1098,2,0,0
4,1098,2,0,0
5,1098,2,0,0
6,1097,3,0,0
7,1097,3,0,0
8,1097,3,0,0
9,1096,4,0,0
10,1096,4,0,0
11,1095,5,0,0
12,1094,6,0,0
13,1094,6,0,0
14,1094,6,0,0
15,1094,6,0,0
16,1094,6,0,0
17,1094,6,0,0
18,1094,6,0,0
19,1094,6,0,0
20,1094,6,0,0
21,1093,7,0,0
22,1093,7,0,0
23,1093,7,0,0
24,1093,7,0,0
25,1092,8,0,0
26,1092,8,0,0
27,1090,10,0,0
28,1089,11,0,0
29,1089,11,0,0
30,1088,12,0,0
31,1088,12,0,0
32,1085,15,0,0
33,1085,15,0,0
34,1084,16,0,0
35,1083,17,0,0
36,1080,20,0,0
37,1080,20,0,0
38,1075,25,0,0
39,1072,28,0,0
40,1070,30,0,0
41,1070,30,0,0
42,1070,30,0,0
43,1067,33,0,0
44,1066,34,0,0
45,1062,38,0,0
46,1058,42,0,0
47,1056,44,0,0
48,1053,47,0,0
49,1051,49,0,0
50,1046,54,0,0
51,1041,59,0,0
52,1036,64,0,0
53,1031,69,0,0
54,1025,75,0,0
55,1021,79,0,0
56,1015,85,0,0
57,1010,90,0,0
58,1001,99,0,0
59,997,103,0,0
60,987,113,0,0
61,981,118,1,0
62,975,124,1,0
63,969,129,2,0
64,962,136,2,0
65,954,144,2,0
66,942,155,3,0
67,934,163,3,0
68,926,171,3,0
69,918,178,4,0
70,909,187,4,0
71,897,198,4,1
72,887,207,4,2
73,878,216,4,2
74,867,227,4,2
75,852,242,4,2
76,838,256,4,2
77,821,273,4,2
78,806,288,4,2
79,787,307,4,2
80,771,323,4,2
81,757,336,4,3
82,743,350,4,3
83,729,364,4,3
84,723,370,4,3
85,709,383,5,3
86,696,396,5,3
87,684,406,7,3
88,678,411,8,3
89,661,428,8,3
90,646,442,9,3
91,632,456,9,3
92,620,465,11,4
93,597,488,11,4
94,583,501,12,4
95,572,511,13,4
96,558,522,16,4
97,549,531,16,4
98,537,538,21,4
99,517,555,24,4
100,507,563,26,4
101,489,581,26,4
102,473,597,26,4
103,461,606,29,4
104,449,617,30,4
105,428,634,31,7
106,418,640,34,8
107,401,655,36,8
108,386,667,38,9
109,373,678,40,9
110,357,689,44,10
111,339,702,49,10
112,321,715,53,11
113,310,721,56,13
114,295,730,62,13
115,275,746,65,14
116,262,753,71,14
117,252,758,76,14
118,242,759,84,15
119,231,766,88,15
120,222,765,98,15
121,210,771,104,15
122,197,778,110,15
123,185,784,116,15
124,178,784,121,17
125,164,790,129,17
126,156,786,138,20
127,147,787,145,21
128,138,788,151,23
129,130,788,159,23
130,126,783,168,23
131,119,778,179,24
132,115,772,188,25
133,111,767,197,25
134,106,761,207,26
135,97,755,220,28
136,92,746,234,28
137,88,733,248,31
138,84,722,263,31
139,81,706,280,33
140,77,694,295,34
141,71,686,309,34
142,69,674,321,36
143,69,660,334,37
144,66,657,338,39
145,64,645,352,39
146,64,632,364,40
147,61,623,375,41
148,57,621,381,41
149,56,605,392,47
150,55,591,405,49
151,52,580,417,51
152,52,568,428,52
153,50,547,449,54
154,48,535,462,55
155,47,525,472,56
156,46,512,485,57
157,44,505,494,57
158,41,496,506,57
159,41,476,525,58
160,41,466,535,58
161,41,448,551,60
162,41,432,563,64
163,40,421,575,64
164,38,411,586,65
165,38,390,604,68
166,37,381,613,69
167,37,364,629,70
168,36,350,644,70
169,36,337,656,71
170,35,322,670,73
171,35,304,688,73
172,35,286,706,73
173,35,275,714,76
174,35,260,729,76
175,35,240,749,76
176,35,227,760,78
177,35,217,768,80
178,35,207,777,81
179,35,196,785,84
180,35,187,794,84
181,35,175,805,85
182,35,162,816,87
183,35,150,828,87
184,35,143,835,87
185,35,129,849,87
186,34,122,856,88
187,33,114,864,89
188,33,105,872,90
189,33,97,879,91
190,33,93,882,92
191,33,86,888,93
192,33,82,891,94
193,33,78,895,94
194,33,73,899,95
195,32,65,908,95
196,32,60,912,96
197,32,56,915,97
198,32,52,919,97
199,32,49,922,97
200,32,45,926,97
201,32,39,931,98
202,32,37,932,99
203,32,37,932,99
204,32,34,934,100
205,32,32,936,100
206,32,32,936,100
207,32,29,939,100
208,32,25,942,101
209,32,24,943,101
210,32,23,944,101
211,32,20,946,102
212,32,20,946,102
213,32,18,948,102
214,32,16,949,103
215,32,15,950,103
216,32,14,951,103
217,32,12,953,103
218,32,9,956,103
219,32,9,956,103
220,32,9,956,103
221,32,9,956,103
222,32,9,956,103
223,32,8,957,103
224,32,6,959,103
225,32,6,959,103
226,32,5,960,103
227,32,5,960,103
228,32,4,961,103
229,32,4,961,103
230,32,3,962,103
231,32,3,962,103
