Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1099,1,0,0
9,1099,1,0,0
10,1099,1,0,0
11,1099,1,0,0
12,1099,1,0,0
13,1098,2,0,0
14,1098,2,0,0
15,1098,2,0,0
16,1098,2,0,0
17,1098,2,0,0
18,1098,2,0,0
19,1098,2,0,0
20,1098,2,0,0
21,1098,2,0,0
22,1098,2,0,0
23,1098,2,0,0
24,1098,2,0,0
25,1098,2,0,0
26,1098,2,0,0
27,1098,2,0,0
28,1098,2,0,0
29,1098,2,0,0
30,1098,2,0,0
31,1098,2,0,0
32,1098,2,0,0
33,1098,2,0,0
34,1097,3,0,0
35,1097,3,0,0
36,1097,3,0,0
37,1097,3,0,0
38,1097,3,0,0
39,1097,3,0,0
40,1097,3,0,0
41,1097,3,0,0
42,1096,4,0,0
43,1096,4,0,0
44,1096,4,0,0
45,1096,4,0,0
46,1096,4,0,0
47,1096,4,0,0
48,1096,4,0,0
49,1095,5,0,0
50,1095,5,0,0
51,1095,5,0,0
52,1094,6,0,0
53,1094,6,0,0
54,1094,6,0,0
55,1094,6,0,0
56,1094,6,0,0
57,1094,6,0,0
58,1093,7,0,0
59,1092,8,0,0
60,1090,10,0,0
61,1089,10,1,0
62,1089,10,1,0
63,1089,10,1,0
64,1088,11,1,0
65,1087,12,1,0
66,1086,13,1,0
67,1085,14,1,0
68,1085,14,1,0
69,1085,14,1,0
70,1084,15,1,0
71,1084,15,1,0
72,1082,17,1,0
73,1080,18,2,0
74,1078,20,2,0
75,1076,22,2,0
76,1075,23,2,0
77,1073,25,2,0
78,1073,25,2,0
79,1071,27,2,0
80,1069,29,2,0
81,1069,29,2,0
82,1066,32,2,0
83,1066,32,2,0
84,1063,35,2,0
85,1062,36,2,0
86,1059,39,2,0
87,1057,41,2,0
88,1055,43,2,0
89,1051,47,2,0
90,1049,49,2,0
91,1045,53,2,0
92,1042,56,2,0
93,1040,58,2,0
94,1039,58,3,0
95,1036,61,3,0
96,1033,64,3,0
97,1032,65,3,0
98,1027,70,3,0
99,1025,72,3,0
100,1023,74,3,0
101,1018,79,3,0
102,1014,82,4,0
103,1013,83,4,0
104,1009,87,4,0
105,1002,94,4,0
106,999,97,4,0
107,997,99,4,0
108,992,104,4,0
109,991,104,5,0
110,986,109,5,0
111,975,120,5,0
112,968,126,6,0
113,966,128,6,0
114,962,132,6,0
115,955,139,6,0
116,947,147,6,0
117,945,149,6,0
118,940,153,7,0
119,940,152,7,1
120,928,162,9,1
121,921,168,10,1
122,910,179,10,1
123,900,189,10,1
124,892,196,11,1
125,888,199,12,1
126,881,205,13,1
127,871,214,13,2
128,865,220,13,2
129,854,231,13,2
130,851,233,14,2
131,844,240,14,2
132,835,247,16,2
133,825,255,18,2
134,819,259,20,2
135,813,263,22,2
136,802,273,23,2
137,796,277,25,2
138,786,287,25,2
139,778,293,26,3
140,768,301,28,3
141,757,312,28,3
142,745,321,30,4
143,735,331,30,4
144,720,343,33,4
145,711,351,34,4
146,699,360,37,4
147,691,366,39,4
148,679,376,41,4
149,673,378,44,5
150,662,387,46,5
151,652,393,49,6
152,642,400,52,6
153,630,410,54,6
154,624,415,55,6
155,619,417,57,7
156,609,424,60,7
157,594,438,61,7
158,576,451,65,8
159,566,459,67,8
160,559,464,69,8
161,549,469,74,8
162,539,475,77,9
163,530,483,77,10
164,520,489,80,11
165,513,489,87,11
166,503,496,90,11
167,488,509,92,11
168,484,508,97,11
169,478,513,98,11
170,469,517,103,11
171,463,512,113,12
172,449,519,117,15
173,442,524,119,15
174,430,532,122,16
175,423,532,128,17
176,414,533,136,17
177,404,541,136,19
178,396,544,139,21
179,387,553,139,21
180,382,546,151,21
181,377,544,158,21
182,375,535,168,22
183,368,532,178,22
184,356,536,185,23
185,347,541,188,24
186,339,542,194,25
187,337,534,201,28
188,327,538,206,29
189,319,535,216,30
190,313,538,218,31
191,302,542,225,31
192,297,538,234,31
193,294,531,244,31
194,285,534,249,32
195,275,538,255,32
196,267,535,265,33
197,258,538,268,36
198,251,535,278,36
199,243,535,285,37
200,236,532,293,39
201,232,525,303,40
202,225,520,315,40
203,220,515,323,42
204,216,504,338,42
205,211,500,346,43
206,206,493,357,44
207,204,487,364,45
208,194,485,373,48
209,188,485,379,48
210,186,476,390,48
211,182,470,400,48
212,178,464,408,50
213,175,455,418,52
214,172,452,423,53
215,166,453,428,53
216,162,447,438,53
217,162,432,452,54
218,160,416,467,57
219,155,411,476,58
220,151,408,481,60
221,151,398,488,63
222,149,390,497,64
223,147,383,505,65
224,144,376,514,66
225,142,371,519,68
226,139,364,529,68
227,137,351,544,68
228,137,347,548,68
229,132,346,554,68
230,132,337,562,69
231,131,332,568,69
232,130,319,580,71
233,128,314,587,71
234,126,304,599,71
235,124,299,606,71
236,122,292,613,73
237,121,283,623,73
238,120,276,630,74
239,118,269,639,74
